时间,播放数,关注,弹幕,评分,评分人数
2020-02-12 20:29:05,37482542,1940122,1240176,9.8,34807
2020-02-12 20:37:26,37485076,1940396,1240234,9.8,34809
2020-03-14 12:39:05,44161518,2306089,1447065,9.8,39205
2020-03-15 22:03:36,44348689,2314436,1453951,9.8,39335
2020-03-15 23:44:49,44362681,2315064,1454559,9.8,39349
2020-03-16 00:44:52,44369892,2315349,1454827,9.8,39357
2020-03-16 01:44:59,44374624,2315551,1454972,9.8,39359
2020-03-16 02:45:09,44377694,2315687,1455037,9.8,39361
2020-03-16 03:45:14,44379655,2315768,1455089,9.8,39365
2020-03-16 04:45:19,44380855,2315817,1455107,9.8,39367
2020-03-16 05:45:23,44381581,2315849,1455130,9.8,39367
2020-03-16 06:45:26,44382319,2315875,1455139,9.8,39368
2020-03-16 07:45:38,44383823,2315957,1455189,9.8,39368
2020-03-16 08:45:47,44386613,2316100,1455300,9.8,39369
2020-03-16 09:45:52,44390793,2316309,1455440,9.8,39370
2020-03-16 10:45:56,44395669,2316545,1455614,9.8,39376
2020-03-16 11:46:02,44401249,2316824,1455886,9.8,39379
2020-03-16 12:46:13,44408512,2317096,1456214,9.8,39392
2020-03-16 13:46:17,44415834,2317358,1456590,9.8,39397
2020-03-16 14:46:23,44421238,2317611,1456828,9.8,39402
2020-03-16 15:46:33,44427442,2317884,1457061,9.8,39410
2020-03-16 16:46:37,44433442,2318164,1457331,9.8,39417
2020-03-16 17:46:42,44439803,2318481,1457640,9.8,39424
2020-03-16 18:46:50,44446631,2318775,1457894,9.8,39428
2020-03-16 19:46:53,44453047,2319066,1458147,9.8,39432
2020-03-16 20:47:00,44459120,2319364,1458341,9.8,39435
2020-03-16 21:47:06,44465745,2319666,1458640,9.8,39436
2020-03-16 22:47:10,44473749,2319991,1458994,9.8,39443
2020-03-16 23:32:31,44480086,2320257,1459251,9.8,39448
2020-03-16 23:47:16,44482058,2320331,1459337,9.8,39450
2020-03-17 00:32:39,44487278,2320545,1459588,9.8,39460
2020-03-17 00:47:19,44488865,2320593,1459659,9.8,39460
2020-03-17 01:32:45,44492558,2320730,1459815,9.8,39467
2020-03-17 01:47:28,44493541,2320765,1459843,9.8,39467
2020-03-17 02:32:48,44495848,2320861,1459910,9.8,39470
2020-03-17 02:47:35,44496502,2320892,1459930,9.8,39470
2020-03-17 03:32:57,44497894,2320938,1459983,9.8,39473
2020-03-17 03:47:42,44498270,2320957,1459987,9.8,39475
2020-03-17 04:33:01,44499172,2320985,1460002,9.8,39477
2020-03-17 04:47:53,44499402,2320997,1460008,9.8,39477
2020-03-17 05:33:13,44500012,2321024,1460025,9.8,39477
2020-03-17 05:48:03,44500174,2321025,1460027,9.8,39477
2020-03-17 06:33:16,44500711,2321047,1460038,9.8,39477
2020-03-17 06:48:13,44500910,2321054,1460039,9.8,39477
2020-03-17 07:33:27,44502000,2321098,1460065,9.8,39478
2020-03-17 07:48:23,44502559,2321127,1460083,9.8,39478
2020-03-17 08:33:34,44504722,2321239,1460169,9.8,39481
2020-03-17 08:48:26,44505637,2321275,1460198,9.8,39481
2020-03-17 09:33:42,44508638,2321435,1460322,9.8,39484
2020-03-17 09:48:30,44509726,2321488,1460372,9.8,39484
2020-03-17 10:33:49,44513538,2321655,1460541,9.8,39486
2020-03-17 10:48:33,44514805,2321723,1460605,9.8,39486
2020-03-17 11:33:59,44519011,2321915,1460802,9.8,39488
2020-03-17 11:48:43,44520469,2321984,1460849,9.8,39488
2020-03-17 12:34:10,44526058,2322175,1461080,9.8,39493
2020-03-17 12:48:49,44527921,2322253,1461174,9.8,39493
2020-03-17 13:34:18,44533465,2322428,1461458,9.8,39501
2020-03-17 13:49:00,44535122,2322476,1461563,9.8,39506
2020-03-17 14:34:21,44539753,2322696,1461820,9.8,39510
2020-03-17 14:49:08,44541245,2322764,1461880,9.8,39511
2020-03-17 15:49:19,44547233,2323048,1462217,9.8,39517
2020-03-17 16:49:27,44553150,2323292,1462477,9.8,39520
2020-03-17 17:49:39,44559250,2323531,1462772,9.8,39525
2020-03-17 18:49:51,44565459,2323818,1463045,9.8,39529
2020-03-17 19:50:00,44571272,2324058,1463247,9.8,39535
2020-03-17 20:50:11,44576812,2324306,1463444,9.8,39536
2020-03-17 21:50:15,44583326,2324587,1463720,9.8,39542
2020-03-17 22:50:22,44591014,2324933,1464044,9.8,39549
2020-03-17 23:50:30,44598869,2325262,1464409,9.8,39555
2020-03-18 00:50:36,44605115,2325523,1464724,9.8,39558
2020-03-18 01:09:59,44606331,2325579,1464769,9.8,39559
